sku,brand,model_name,target_segment,cpu_model,cinebench_r23_score,gpu_model,threedmark_score,is_gpu_integrated,ram_gb,ram_generation,storage_gb,storage_type,display_size_inches,weight_kg,min_discount_price_inr,avg_normal_price_inr,max_mrp_price_inr,max_discount_percentage,current_price_inr,rating
SKU-LENOVO-0250,LENOVO,LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR5,512,SSD,15.6,2.2,50151,56990,67248,25.4,56990,4.0
SKU-MSI-0251,MSI,Pulse 16 AI PC Intel Core Ultra 7 155H,Gamer,Intel Core Ultra 7 155H,14800,NVIDIA Dedicated Graphics,5000,False,16,DDR5,1024,SSD,16.0,2.2,87991,99990,117988,25.4,99990,4.8
SKU-INFINIX-0252,INFINIX,X Air Pro+ Intel Core i5 13th Gen 1334U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,512,SSD,14.0,1.7,50151,56990,67248,25.4,56990,4.4
SKU-ASUS-0253,ASUS,Intel Core Ultra 7 14th Gen,Creator,Intel Core Ultra 7 155H,14800,Intel Arc Graphics,3800,True,16,LPDDR5X,1024,SSD,14.0,1.7,87991,99990,117988,25.4,99990,4.0
SKU-ASUS-0254,ASUS,Vivobook S14 (2025),Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,15.6,1.7,50151,56990,67248,25.4,56990,4.4
SKU-DELL-0255,DELL,Inspiron 14 Plus 7440 Intel Core Ultra 7 155H,Creator,Intel Core Ultra 7 155H,14800,Intel Arc Graphics,3800,True,16,LPDDR5X,1024,SSD,14.0,1.7,87991,99990,117988,25.4,99990,2.3
SKU-LENOVO-0256,LENOVO,IdeaPad Slim 3 Backlit Keyboard,Professional,Intel 210H,13500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,1.7,51911,58990,69608,25.4,58990,4.8
SKU-LENOVO-0257,LENOVO,Workstation P15v Intel Core i7 12th Gen 12800H,Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,1024,SSD,15.6,1.7,50151,56990,67248,25.4,56990,4.0
SKU-ACER-0258,ACER,Professional Intel Core i7 13th Gen 1355U with 3year Warranty,Professional,Intel 1355U,9800,Intel Iris Xe Graphics,1600,True,32,DDR4,1024,SSD,15.6,1.7,64671,73490,86718,25.4,73490,3.6
SKU-LENOVO-0260,LENOVO,IdeaPad Slim 3 Intel Core i3 12th Gen,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33879,38499,45429,25.4,38499,4.0
SKU-ZEBRONICS-0261,ZEBRONICS,Pro Series Z Intel Core i7 12th Gen 1255U,Student,Intel 1255U,9200,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.4,36071,40990,48368,25.4,40990,4.0
