sku,brand,model_name,target_segment,cpu_model,cinebench_r23_score,gpu_model,threedmark_score,is_gpu_integrated,ram_gb,ram_generation,storage_gb,storage_type,display_size_inches,weight_kg,min_discount_price_inr,avg_normal_price_inr,max_mrp_price_inr,max_discount_percentage,current_price_inr,rating
SKU-ASUS-0341,ASUS,Vivobook 15 Intel Core 5 120U,Professional,Intel 120U,9800,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,15.6,1.7,43991,49990,58988,25.4,49990,3.9
SKU-LENOVO-0342,LENOVO,LOQ Intel Core i5 12th Gen 12450HX,Gamer,Intel 12450H,11800,NVIDIA Dedicated Graphics,5000,False,12,DDR5,512,SSD,15.6,2.2,50600,57500,67850,25.4,57500,4.3
SKU-ASUS-0344,ASUS,Vivobook 14 (2025),Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,14.0,1.7,50151,56990,67248,25.4,56990,4.4
SKU-DELL-0345,DELL,Inspiron 15,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,15.0,1.7,49271,55990,66068,25.4,55990,4.2
SKU-HP-0346,HP,255 G10 AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.2
SKU-DELL-0347,DELL,Inspiron 15,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,35904,40800,48144,25.4,40800,4.1
SKU-HP-0348,HP,Victus Intel Core i5 14th Gen 14450HX,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,24,DDR5,512,SSD,14.0,2.2,63360,72000,84960,25.4,72000,4.3
SKU-HP-0349,HP,Laptop Intel Core i5 12th Gen 1235U,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,42680,48500,57230,25.4,48500,4.2
SKU-ASUS-0350,ASUS,Gaming V16 (2025) for Creator with Office 202,Gamer,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,2.2,50151,56990,67248,25.4,56990,4.2
SKU-HP-0351,HP,Professional Intel Core i5 13th Gen 1334U Turbo Boost,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,45319,51499,60769,25.4,51499,3.9
SKU-ASUS-0352,ASUS,VivoBook 14 Intel Core i3 11th Gen 1115G4,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,256,SSD,14.0,1.4,33440,38000,44840,25.4,38000,4.3
SKU-HP-0353,HP,245 G10 Backlit + FingerPrint (2025) AMD Ryzen 3 Quad Core 7330U,Student,AMD Ryzen 7 7330U,10500,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,16.0,1.4,45760,52000,61360,25.4,52000,4.0
SKU-HP-0354,HP,Professional Intel Core i5 13th Gen 1334U Turbo Boost Finger Print,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,44431,50490,59578,25.4,50490,3.6
SKU-ASUS-0355,ASUS,ExpertBook B14 Intel Core i3 12th Gen 1215U,Professional,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,14.0,1.7,31767,36099,42597,25.4,36099,4.3
SKU-HP-0356,HP,15s Intel Core i3 11th Gen 1115G4,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.3
SKU-SAMSUNG-0357,SAMSUNG,Galaxy Book5 360 Next Gen AI PC Full Metal Chasis Intel Core Ultra 5 226V,Creator,Intel Core Ultra 5 226V,12500,Intel Arc Graphics 130V,3600,True,16,LPDDR5X,512,SSD,15.6,1.7,69511,78990,93208,25.4,78990,4.6
SKU-ASUS-0358,ASUS,Chromebook CX15 Intel Celeron Dual Core N4500,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,8,LPDDR4X,128,eMMC,15.6,1.4,19183,21799,25723,25.4,21799,4.1
SKU-LENOVO-0359,LENOVO,LOQ AMD Ryzen 5 Quad Core 7235HS,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,24,DDR5,512,SSD,15.6,2.2,60095,68290,80582,25.4,68290,4.4
SKU-ACER-0360,ACER,Aspire 7 Intel Core i7 13th Gen 13620H,Gamer,Intel 13620H,16800,NVIDIA Dedicated Graphics,5000,False,16,DDR4,512,SSD,15.6,2.2,61591,69990,82588,25.4,69990,4.3
SKU-DELL-0361,DELL,15 Intel Core i7 13th Gen 1355U,Professional,Intel 1355U,9800,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,58079,65999,77879,25.4,65999,4.2
SKU-HP-0362,HP,Chromebook Intel Celeron Dual Core N4500,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,DDR4,64,eMMC,14.0,1.4,21111,23990,28308,25.4,23990,3.8
SKU-HP-0363,HP,Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,15.6,1.7,47511,53990,63708,25.4,53990,4.2
SKU-DELL-0364,DELL,Inspiron 15 3520 Intel Core i5 12th Gen Core i5,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,46358,52680,62162,25.4,52680,3.8
SKU-LENOVO-0365,LENOVO,IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,14.0,1.4,35631,40490,47778,25.4,40490,4.0
SKU-HP-0366,HP,Chromebook MediaTek MT8183,Student,MediaTek,1900,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,32,eMMC,11.6,1.4,13014,14789,17451,25.4,14789,3.7
SKU-LENOVO-0367,LENOVO,LOQ AMD Ryzen 5 Quad Core 7235HS,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,12,DDR5,512,SSD,15.6,2.2,57455,65290,77042,25.4,65290,4.4
SKU-MSI-0368,MSI,Modern 14 C13M Intel Core i3 13th Gen 1315U,Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,14.0,1.4,29911,33990,40108,25.4,33990,4.1
SKU-HP-0369,HP,Victus Intel Core i5 12th Gen 12450H,Gamer,Intel 12450H,11800,NVIDIA Dedicated Graphics,5000,False,8,DDR4,512,SSD,15.6,2.2,48311,54899,64781,25.4,54899,4.3
SKU-ASUS-0370,ASUS,Chromebook Intel Celeron Dual Core N4500,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,64,eMMC,15.6,1.4,12319,13999,16519,25.4,13999,3.8
SKU-HP-0372,HP,15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,15.6,1.4,32551,36990,43648,25.4,36990,4.2
SKU-HP-0373,HP,15 Intel Celeron Dual Core 12th Gen,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,8,DDR4,256,SSD,15.6,1.4,22880,26000,30680,25.4,26000,4.0
SKU-ASUS-0374,ASUS,Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.2
SKU-LENOVO-0375,LENOVO,IdeaPad Slim 5 Intel Core i5 12th Gen 12450H,Professional,Intel 12450H,11800,Intel Iris Xe Graphics,1600,True,16,LPDDR5,512,SSD,14.0,1.7,49191,55899,65961,25.4,55899,4.2
SKU-HP-0376,HP,Victus AMD Ryzen 5 Hexa Core 5600H,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,15.6,2.2,45751,51990,61348,25.4,51990,3.9
SKU-HP-0377,HP,Intel Core i3 11th Gen 1125G4,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.2
SKU-ACER-0378,ACER,Aspire Lite AL15,Student,Intel 1305U,6800,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,29031,32990,38928,25.4,32990,4.2
SKU-DELL-0379,DELL,16 Intel Core i5 13th Gen 1334U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,1.7,56311,63990,75508,25.4,63990,4.5
SKU-LENOVO-0380,LENOVO,IdeaPad Slim 3 AMD Ryzen 3 Quad Core 7320U Office Home 2024 AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,15.6,1.4,32551,36990,43648,25.4,36990,4.3
SKU-HP-0381,HP,Professional Intel Core i5 13th Gen,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,16.0,1.7,50951,57899,68321,25.4,57899,3.8
SKU-ASUS-0382,ASUS,TUF Gaming A15 AMD Ryzen 7 Hexa Core 7435HS,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR5,512,SSD,16.0,2.2,50151,56990,67248,25.4,56990,4.4
SKU-DELL-0383,DELL,Vostro Intel Core i3 11th Gen 1115G4,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,15.6,1.4,38719,43999,51919,25.4,43999,4.0
SKU-ACER-0384,ACER,Swift Neo OLED AI PC Intel Core Ultra 5 115U,Creator,Intel Core Ultra 5 125H,12800,Intel Arc Graphics,3400,True,16,LPDDR5,512,SSD,14.0,1.7,69511,78990,93208,25.4,78990,4.1
SKU-APPLE-0385,APPLE,MacBook Pro M5,Creator,Apple M1,7800,Apple M1 7-core GPU,1600,True,16,DDR4,1024,SSD,16.0,1.7,114400,130000,153400,25.4,130000,4.0
SKU-HP-0386,HP,(2024) Laptop,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,40392,45900,54162,25.4,45900,4.1
SKU-ASUS-0387,ASUS,Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS,Creator,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,15.6,1.7,50151,56990,67248,25.4,56990,4.3
SKU-ASUS-0388,ASUS,Vivobook S16 (2025),Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,1.7,50151,56990,67248,25.4,56990,5.0
SKU-HP-0389,HP,255 G9 AMD Athlon Dual Core AMD Athlon Silver,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR4,256,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.0
SKU-ASUS-0390,ASUS,Vivobook 16 (2025),Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,50151,56990,67248,25.4,56990,3.9
SKU-HP-0391,HP,255 G10 Backlit + FingerPrint (2025) AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,LPDDR5,512,SSD,16.0,1.4,36951,41990,49548,25.4,41990,4.0
SKU-ASUS-0392,ASUS,Chromebook Intel Celeron Dual Core N4500,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,64,eMMC,14.0,1.4,16606,18870,22267,25.4,18870,3.8
SKU-LENOVO-0393,LENOVO,V 15 (2025) Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,30087,34190,40344,25.4,34190,4.2
SKU-ASUS-0394,ASUS,Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,14.0,1.4,32551,36990,43648,25.4,36990,4.3
SKU-LENOVO-0395,LENOVO,LOQ AMD Ryzen 7 Octa Core 7435HS,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,24,DDR5,512,SSD,15.6,2.2,63360,72000,84960,25.4,72000,4.5
SKU-ASUS-0396,ASUS,ROG Strix G15 AMD Ryzen 7 Octa Core AMD R7,Gamer,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR4,1024,SSD,16.0,2.2,50151,56990,67248,25.4,56990,4.4
SKU-LENOVO-0397,LENOVO,IdeaPad Slim 3 Intel Core i3 13th Gen 1305U,Student,Intel 1305U,6800,Intel Iris Xe Graphics,1600,True,8,LPDDR5,512,SSD,14.0,1.4,36485,41460,48923,25.4,41460,4.0
SKU-ASUS-0398,ASUS,Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,14.0,1.4,32551,36990,43648,25.4,36990,4.2
SKU-HP-0399,HP,14 (2025) AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,14.0,1.4,33440,38000,44840,25.4,38000,3.8
SKU-MSI-0400,MSI,Intel Core i7 12th Gen 1255U,Professional,Intel 1255U,9200,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,15.0,1.7,47511,53990,63708,25.4,53990,4.0
SKU-DELL-0401,DELL,Latitude 3440 (2024) Intel Core i3 12th Gen 1215U,Professional,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.7,29559,33590,39636,25.4,33590,4.2
SKU-LENOVO-0402,LENOVO,IdeaPad 3 Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,14.0,1.4,34751,39490,46598,25.4,39490,4.2
SKU-HP-0403,HP,Pavilion Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,56495,64199,75755,25.4,64199,4.3
SKU-LENOVO-0404,LENOVO,IdeaPad Slim 3 Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,30791,34990,41288,25.4,34990,4.2
SKU-ACER-0405,ACER,TravelMate P2 Intel Core i7 11th Gen 1165G7,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,16.0,1.7,39117,44451,52452,25.4,44451,3.8
SKU-LENOVO-0406,LENOVO,IdeaPad Slim 3i Intel Core i5 13th Gen 13420H,Student,Intel 13420H,12200,Intel Iris Xe Graphics,1600,True,8,DDR5,512,SSD,15.6,1.4,45672,51900,61242,25.4,51900,4.0
SKU-ASUS-0407,ASUS,Vivobook S16 OLED (2025),Creator,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5X,512,SSD,16.0,1.7,50151,56990,67248,25.4,56990,4.4
SKU-HP-0408,HP,15R (2025) Intel Core i3 13th Gen 1315U,Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,30439,34590,40816,25.4,34590,4.4
SKU-ASUS-0409,ASUS,Vivobook 14 (2025),Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,14.0,1.4,31984,36345,42887,25.4,36345,3.9
SKU-DELL-0410,DELL,Latitude 3440 (2024) Intel Core i3 12th Gen 1215U,Professional,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,40304,45800,54044,25.4,45800,4.1
SKU-HP-0411,HP,MSO 2024 AMD Ryzen 5 Hexa Core 7430U,Professional,AMD Ryzen 7 7430U,9200,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,15.6,1.7,45760,52000,61360,25.4,52000,4.0
SKU-HP-0412,HP,Intel Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,44783,50890,60050,25.4,50890,4.2
SKU-SAMSUNG-0413,SAMSUNG,Galaxy Book4 Intel Core 5 120U,Professional,Intel 120U,9800,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,512,SSD,15.6,1.7,45013,51151,60358,25.4,51151,4.4
SKU-HP-0414,HP,Touch Chromebook MediaTek MT8183,Student,MediaTek,1900,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,32,eMMC,11.6,1.4,11343,12890,15210,25.4,12890,3.4
SKU-LENOVO-0415,LENOVO,Chromebook Intel Pentium Quad Core N100,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR5,128,eMMC,14.0,1.4,33440,38000,44840,25.4,38000,4.0
SKU-ASUS-0416,ASUS,VivoBook 14 AMD Ryzen 7 Quad Core AMD R7,Professional,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,14.0,1.7,54735,62199,73395,25.4,62199,4.1
SKU-ASUS-0417,ASUS,TUF Gaming F17,Gamer,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,17.3,2.2,52790,59989,70787,25.4,59989,4.3
SKU-DELL-0419,DELL,15 Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,15.6,1.7,44871,50990,60168,25.4,50990,4.2
SKU-HP-0420,HP,G10 AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,15.6,1.4,36951,41990,49548,25.4,41990,3.9
SKU-ACER-0421,ACER,Nitro V Intel Core i5 13th Gen 13420H,Gamer,Intel 13420H,12200,NVIDIA Dedicated Graphics,5000,False,16,DDR5,1024,SSD,16.0,2.2,79199,89999,106199,25.4,89999,4.3
SKU-HP-0422,HP,Pavilion Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,16.0,1.7,50151,56990,67248,25.4,56990,4.3
SKU-SAMSUNG-0424,SAMSUNG,Galaxy Book4 Intel Core 7 150U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,LPDDR4X,512,SSD,15.6,1.7,50151,56990,67248,25.4,56990,4.6
SKU-ASUS-0425,ASUS,Vivobook Go 14 AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,LPDDR5,512,SSD,14.0,1.4,36871,41899,49441,25.4,41899,4.2
SKU-ASUS-0426,ASUS,Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,14.0,1.4,32551,36990,43648,25.4,36990,4.2
SKU-DELL-0427,DELL,Latitude 3540 Intel Core i3 12th Gen,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.7,33440,38000,44840,25.4,38000,4.1
SKU-ASUS-0428,ASUS,Vivobook 14 Intel Core i5 13th Gen 1335U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,14.0,1.7,40672,46218,54537,25.4,46218,3.7
SKU-LENOVO-0429,LENOVO,LOQ Intel Core i7 13th Gen 13650HX,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,24,DDR5,512,SSD,15.6,2.2,63360,72000,84960,25.4,72000,4.3
SKU-HP-0430,HP,255 G9 840T7PA AMD Athlon Dual Core 3050U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,DDR4,256,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.0
SKU-LENOVO-0431,LENOVO,IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,Professional,Intel 12450H,11800,Intel Iris Xe Graphics,1600,True,16,LPDDR5,512,SSD,16.0,1.7,41791,47490,56038,25.4,47490,4.6
SKU-ASUS-0432,ASUS,Vivobook 16 (2025),Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,50151,56990,67248,25.4,56990,3.5
SKU-MSI-0433,MSI,AMD Ryzen 5 Hexa Core 7430U,Student,AMD Ryzen 7 7430U,9200,AMD Radeon Graphics,1500,True,16,DDR4,512,SSD,14.0,1.4,45760,52000,61360,25.4,52000,4.3
SKU-ASUS-0434,ASUS,Vivobook 16X (2025),Professional,Intel 13420H,12200,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,62471,70990,83768,25.4,70990,4.2
SKU-DELL-0435,DELL,Intel Celeron Dual Core,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,DDR4,256,SSD,15.6,1.4,22880,26000,30680,25.4,26000,3.9
SKU-ASUS-0436,ASUS,"Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H",Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,16.0,1.7,52790,59989,70787,25.4,59989,4.1
SKU-ASUS-0437,ASUS,Chromebook Intel Celeron Dual Core N4020,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,16,DDR4,64,eMMC,11.6,1.4,14784,16800,19824,25.4,16800,3.6
SKU-HP-0438,HP,OMEN AMD Ryzen 7 Octa Core 7840HS,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,DDR5,1024,SSD,16.0,2.2,63360,72000,84960,25.4,72000,3.7
SKU-ASUS-0439,ASUS,Gaming V16 (2025) for Creator with Office 202,Gamer,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR5,512,SSD,16.0,2.2,50151,56990,67248,25.4,56990,4.1
SKU-HP-0440,HP,255 G10 (2024) AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,15.6,1.4,32551,36990,43648,25.4,36990,4.0
SKU-HP-0441,HP,G10 AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,14.0,1.4,34311,38990,46008,25.4,38990,4.1
SKU-SAMSUNG-0442,SAMSUNG,Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V,Creator,Intel Core Ultra 7 258V,14200,Intel Arc Graphics 140V,4200,True,16,LPDDR5X,512,SSD,16.0,1.7,125831,142990,168728,25.4,142990,4.8
SKU-HP-0443,HP,Victus Intel Core i7 13th Gen 13700H,Gamer,Intel Core i5,10500,NVIDIA Dedicated Graphics,5000,False,16,DDR4,512,SSD,15.6,2.2,63360,72000,84960,25.4,72000,4.5
SKU-LENOVO-0444,LENOVO,Intel Core i5 12th Gen 12450H,Professional,Intel 12450H,11800,Intel Iris Xe Graphics,1600,True,16,LPDDR5,1024,SSD,16.0,1.7,52351,59490,70198,25.4,59490,4.0
SKU-LENOVO-0445,LENOVO,IdeaPad 3 Intel Core i3 12th Gen 1215U,Student,Intel 1215U,6500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,14.0,1.4,33348,37895,44716,25.4,37895,4.2
SKU-HP-0446,HP,15s Intel Core i5 13th Gen 1335U,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,47414,53880,63578,25.4,53880,4.1
SKU-LENOVO-0447,LENOVO,V 14 (2025) Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,14.0,1.7,43032,48900,57702,25.4,48900,4.1
SKU-MSI-0448,MSI,Modern 14 Intel Core i5 12th Gen 1235U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,14.0,1.7,37831,42990,50728,25.4,42990,4.4
SKU-LENOVO-0449,LENOVO,IdeaPad 1 Intel Celeron Dual Core N4020,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,14.0,1.4,22880,26000,30680,25.4,26000,4.1
SKU-ACER-0450,ACER,Predator Helios Neo 16S AI Intel Core Ultra 7 255 HX,Gamer,Intel Core Ultra 7 155H,14800,Intel Arc Graphics,3800,True,16,DDR5,1024,SSD,16.0,2.2,87991,99990,117988,25.4,99990,4.7
SKU-APPLE-0451,APPLE,MacBook Pro M3 Max,Creator,Apple M3 Max,24500,Apple M3 10-core GPU,4800,True,48,DDR4,1024,SSD,16.0,1.7,307912,349900,412882,25.4,349900,4.0
SKU-DELL-0452,DELL,Vostro 3530 Intel Core i5 1334U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,15.6,1.7,43551,49490,58398,25.4,49490,4.5
SKU-HP-0453,HP,245 G10 Backlit + FingerPrint (2025) AMD Ryzen 3 Quad Core 7330U,Student,AMD Ryzen 7 7330U,10500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,15.6,1.4,45760,52000,61360,25.4,52000,4.0
SKU-ACER-0454,ACER,Intel Core i3 11th Gen,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.2
SKU-ASUS-0455,ASUS,Vivobook Go 15 (2025),Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.0
SKU-HP-0456,HP,15s Intel Core i5 12th Gen,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,42240,48000,56640,25.4,48000,4.1
SKU-MSI-0457,MSI,Modern 14 Intel Core i5 13th Gen 1334U,Professional,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,14.0,1.7,39591,44990,53088,25.4,44990,4.1
SKU-SAMSUNG-0458,SAMSUNG,Galaxy Book4 Pro Evo AI PC Intel Core Ultra 5 125H,Creator,Intel Core Ultra 5 125H,12800,Intel Arc Graphics,3400,True,16,LPDDR5X,512,SSD,16.0,1.7,69511,78990,93208,25.4,78990,4.4
SKU-ASUS-0459,ASUS,Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,Student,Intel Core i5,10500,AMD Radeon Graphics,1500,True,16,LPDDR5,512,SSD,16.0,1.4,36071,40990,48368,25.4,40990,4.2
SKU-SAMSUNG-0460,SAMSUNG,Galaxy Book3 360 EVO AMOLED Intel Core i7 13th Gen 1355U,Creator,Intel 1355U,9800,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,13.3,1.7,79200,90000,106200,25.4,90000,4.3
SKU-HP-0461,HP,15 G10 (2025) AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,15.6,1.4,32551,36990,43648,25.4,36990,3.9
SKU-HP-0462,HP,14s AMD Ryzen 5 Hexa Core 5500U,Student,AMD Ryzen 5 5500U,9500,AMD Radeon Graphics,1500,True,8,DDR4,512,SSD,14.0,1.4,33440,38000,44840,25.4,38000,4.3
SKU-HP-0463,HP,Intel Core i3 12th Gen,Student,Intel Core i5,10500,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,33440,38000,44840,25.4,38000,4.0
